case_id,lens_id,display_key,title,owners,inventors,legal_status,opportunity_type,lens_in_catalog,ri_notes
auto_dong_yang_applicator_colour_dyeing_foam_machine_multi,012-358-671-614-065,GB 2241671 A,Jet applicator for multi-colour foam dyeing machine,,CHO BAK-HYUN,EXPIRED,digital_therapeutic,false,Deduped patent family (2 of 2 records); review scope and naming.
auto_dongjin_semichem_activated_catalyst_chemical_heat_including_ioniz,006-004-190-294-173,IL 216637 A,"Chemical mechanical polishing slurry composition including non-ionized, heat activated nano-catalyst and polishing method using the same",,,ACTIVE,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_dongjin_semichem_novel_organic_preparing_same,086-122-237-419-359,WO 2009/096702 A2,NOVEL ORGANIC DYE AND METHOD FOR PREPARING SAME,,,PENDING,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_dryvit_basecoat_combustion_resistant_wall,092-748-266-877-780,CA 2061343 A1,COMBUSTION-RESISTANT BASECOAT FOR WALL SYSTEMS,,KAPPOCK PAUL S,DISCONTINUED,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_duke_john_improved_machine_rowing,030-386-111-301-854,EP 0360827 B1,IMPROVED ROWING MACHINE,"DUKE, JOHN HINCKS (1990-04-25)","DUKE, JOHN HINCKS",EXPIRED,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_durand_david_applying_bearing_formed_image_member_plastic_the,038-325-981-340-648,GB 2120169 B,METHOD OF APPLYING A DYE IMAGE TO A PLASTIC MEMBER AND THE IMAGE BEARING MEMBER THEREBY FORMED,,DURAND DAVID,EXPIRED,digital_therapeutic,false,Deduped patent family (2 of 2 records); review scope and naming.
auto_durand_david_applying_bearing_formed_image_member_plastic_the,013-981-215-943-798,GB 2120169 A,Method of applying a dye image to a plastic member and the image bearing member thereby formed,,DURAND DAVID,EXPIRED,digital_therapeutic,false,Deduped patent family (2 of 2 records); review scope and naming.
auto_dynamotive_corp_bodies_clamping_magnetostrictive,111-428-759-298-626,WO 1992/002962 A1,CLAMPING DEVICE FOR MAGNETOSTRICTIVE BODIES,,KIESEWETTER LOTHAR ERIK,PENDING,medical_device,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_egan_leslie_ball_dispenser_golf,044-568-333-635-249,IE S20080387 A2,A golf ball dispenser,,EGAN LESLIE;;MANGAN JONATHAN,DISCONTINUED,platform,false,Deduped patent family (2 of 2 records); review scope and naming.
auto_egan_leslie_ball_dispenser_golf,131-570-044-703-766,IE 20090379 A1,A golf ball dispenser,,EGAN LESLIE;;MANGAN JONATHAN,DISCONTINUED,platform,false,Deduped patent family (2 of 2 records); review scope and naming.
auto_egyt_gyogyszervegyeszeti_containing_immediate_oral_pharmaceutical_prasugr,171-753-920-344-074,PH 12014502221 A1,PRASUGREL-CONTAINING IMMEDIATE RELEASE STABLE ORAL PHARMACEUTICAL COMPOSITIONS,,"FEH�R, ANDR�S;;ZSOLT ZSIGMOND;;PETER TONKA-NAGY;;xFFFD;RGY UJFALUSSY GY&",PENDING,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_egyt_gyogyszervegyeszeti_formulation_having_improved_pharmaceutical_stabi,003-421-610-189-176,PH 12014501840 A1,PHARMACEUTICAL FORMULATION HAVING IMPROVED STABILITY,,"FEH�R, ANDR�S;;ZSOLT ZSIGMOND;;xFFFD;RGY UJFALUSSY GY&;;xFFFD;TER TONKA-NAGY P&;;xFFFD;RGY MOROVJAN GY&",PENDING,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_electro_films_diffusion_film_gold_resistors_thin,165-868-091-124-690,WO 1991/003821 A1,GOLD DIFFUSION THIN FILM RESISTORS AND PROCESS,,HALL ALLEN T,PENDING,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_electron_bonding_manufacturing_semiconductor_therefor_wir,070-610-476-393-784,PH 12015500640 A1,BONDING WIRE FOR SEMICONDUCTOR DEVICE AND MANUFACTURING METHOD THEREFOR,,YEOB KIM SANG;;TAK MOON JEONG;;JAE HONG SUNG;;HYOUN KIM SEUNG,PENDING,medical_device,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_electronics_hyung_adjustable_circuit_function_intensity_inverter_l,177-345-879-710-073,EP 0591576 A1,An ultrapower-saving inverter circuit which makes its protective function possible and output voltage and luminous intensity adjustable.,,HYUNG-KWANG KIM YAKSOO APARTME,DISCONTINUED,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_elizabeth_webbing_cargo_securement_strap,038-635-241-519-312,EP 0542908 A1,CARGO SECUREMENT STRAP.,,PINKOS JOHN L,EXPIRED,platform,false,Deduped patent family (2 of 2 records); review scope and naming.
auto_elizabeth_webbing_cargo_securement_strap,180-657-100-006-738,WO 1992/003307 A1,CARGO SECUREMENT STRAP,,PINKOS JOHN L,PATENTED,platform,false,Deduped patent family (2 of 2 records); review scope and naming.
auto_elizabeth_webbing_improved_strap,182-771-670-344-423,WO 1992/003603 A1,IMPROVED STRAP,,PINKOS JOHN L,PENDING,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_elmwood_sensors_assembly_bimetallic_disc_retainer_switch_therefo,018-029-162-521-646,GB 2239348 B,Bimetallic disc assembly for thermostatic switch and disc retainer therefor,,CHRUPCALA JOHN JOSEPH;;URBAN ANTHONY FRANCIS,EXPIRED,platform,false,Deduped patent family (2 of 2 records); review scope and naming.
auto_emma_pendleton_circadian_control_enhanced_lighting_performance,195-208-650-764-745,US 2023/0241346 A1,Lighting System for Circadian Control and Enhanced Performance,EMMA PENDLETON BRADLEY HOSPITAL (2022-09-12);;BROWN UNIVERSITY (2022-09-12),VAN REEN ELIZA;;FERNANDES GUSTAVO E;;XU JINGMING;;CARSKADON MARY A,PENDING,platform,false,Deduped patent family (2 of 3 records); review scope and naming.
auto_emory_university_antibacterial_compounds,151-546-146-216-147,US 11690824 B2,Antibacterial compounds,EMORY UNIVERSITY (2020-01-06);;RHODE ISLAND HOSPITAL A LIFESPAN-PARTNER (2021-05-10);;THE GENERAL HOSPITAL CORPORATION (2021-02-17),AUSUBEL FREDERICK M;;KIM WOOSEONG;;MYLONAKIS ELEFTHERIOS;;WUEST WILLIAM M,ACTIVE,therapeutic,false,Deduped patent family (2 of 2 records); review scope and naming.
auto_emory_university_antibiotic_compounds,097-596-008-558-391,US 2022/0324796 A1,ANTIBIOTIC COMPOUNDS,EMORY UNIVERSITY (2021-12-14);;RHODE ISLAND HOSPITAL A LIFESPAN-PARTNER (2021-12-23);;THE GENERAL HOSPITAL CORPORATION (2021-12-20),AUSUBEL FREDERICK M;;KIM WOOSEONG;;MYLONAKIS ELEFTHERIOS;;WUEST WILLIAM M,PENDING,therapeutic,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_enhanced_energy_cyklisk_stempelmotoreffektsystem,054-125-457-890-006,DK 2890886 T3,Cyklisk stempelmotoreffektsystem,,DUNN PAUL M,ACTIVE,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_eplsolutions_bottom_deployment_high_resolution_seismic_sensor,028-461-509-574-946,US 2026/0133334 A1,WATER BOTTOM SENSOR DEPLOYMENT FOR HIGH RESOLUTION SEISMIC SURVEYS,,David Wilson;;Brandon Mattox;;David Monk;;David Ridyard,UNKNOWN,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_epps_frank_communication_cost_terminal,100-060-445-412-287,EP 0559821 A1,LOW COST COMMUNICATION TERMINAL.,,EPPS FRANK A III;;PALAZZI MICHAEL A II,DISCONTINUED,platform,false,Deduped patent family (2 of 2 records); review scope and naming.
auto_epps_frank_communication_cost_terminal,172-885-189-940-109,WO 1992/009955 A1,LOW COST COMMUNICATION TERMINAL,,EPPS FRANK A III;;PALAZZI MICHAEL A III,PENDING,platform,false,Deduped patent family (2 of 2 records); review scope and naming.
auto_ethicon_endo_acoustical_actuated_apparatus_attaching_blade_co,035-740-991-252-982,EP 0567455 A1,APPARATUS AND METHODS FOR ATTACHING AND DETACHING AN ULTRASONIC ACTUATED BLADE/COUPLER AND AN ACOUSTICAL MOUNT THEREFOR.,"ETHICON ENDO-SURGERY, INC. (1996-06-19)",CLARK RICHARD J;;THOMAS ALAN E,EXPIRED,digital_therapeutic,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_euro_celtique_delivery_opioid_resistant_tamper_transdermal,186-746-624-621-515,WO 2003/070191 A1,TAMPER-RESISTANT TRANSDERMAL OPIOID DELIVERY DEVICES,,,UNKNOWN,medical_device,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_ewing_william_deformable_flexible_label_provided_substrate,060-742-310-871-290,EP 0192740 B1,DEFORMABLE SUBSTRATE PROVIDED WITH A FLEXIBLE AND DEFORMABLE LABEL,,"EWING, WILLIAM D.",EXPIRED,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_farbenpunkt_2021_celle_comprenant_dispersees_encre_impremes_micel,080-101-637-013-525,BE 1025652 A1,ENCRE COMPRENANT DES MICELLES DE NANOPIGMENT DISPERSEES ET TEXTILES IMPREMES OBTENUS A PARTIR DE CELLE-CI,"FARBENPUNKT, INC.; US (2021-10-28)",STEVENINCK ETIENNE;;DE BREUCK HERBERT,ACTIVE,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_fernandes_gustavo_circadian_control_enhanced_lighting_performance,075-098-854-224-614,US 10850061 B2,Lighting system for circadian control and enhanced performance,FERNANDES GUSTAVO E (2022-10-04);;EMMA PENDLETON BRADLEY HOSPITAL (2022-09-12);;XU JINGMING (2022-10-04);;CARSKADON MARY A (2022-10-04);;VAN REEN ELIZA (2022-10-04);;BROWN UNIVERSITY (2022-09-14),VAN REEN ELIZA;;FERNANDES GUSTAVO E;;XU JINGMING;;CARSKADON MARY A,ACTIVE,platform,false,Deduped patent family (2 of 2 records); review scope and naming.
auto_ferrari_farm_apparatus_automatic_cultivation_food_human_hydro,049-667-713-064-631,WO 2016/189477 A1,"APPARATUS FOR AUTOMATIC MANAGEMENT OF A CULTIVATION RECIPE FOR PRODUCING, USING HYDROPONIC TECHNOLOGY, VEGETABLES TO BE USED FOR HUMAN FOOD",,PONTETTI GIORGIA;;PONTETTI VALENTINA,PENDING,digital_therapeutic,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_fiber_composites_fremgangsm_fremstilling_ionomer_kmaterialer_komp,003-086-663-113-436,DK 2376283 T3,TRÆ-PLAST-KOMPOSITTER MED IONOMER-DÆKMATERIALER OG FREMGANGSMÅDER TIL FREMSTILLING,,PRZYBYLINSKI JAMES P;;MANCOSH DOUGLAS G,ACTIVE,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_finetech_apparatus_embossing_means_mold_preparing_product,188-544-144-908-442,WO 2017/018580 A1,EMBOSSING MOLD APPARATUS AND METHOD FOR PREPARING PRODUCT BY MEANS OF SAME,,RYOO KI-TAEK;;PARK HYUNG-GEUN,PENDING,digital_therapeutic,false,Deduped patent family (2 of 2 records); review scope and naming.
auto_finetech_apparatus_embossing_means_mold_preparing_product,004-161-195-027-337,WO 2017/018581 A1,EMBOSSING MOLD APPARATUS AND METHOD FOR PREPARING PRODUCT BY MEANS OF SAME,,RYOO KI-TAEK;;PARK HYUNG-GEUN,PENDING,digital_therapeutic,false,Deduped patent family (2 of 2 records); review scope and naming.
auto_finn_strong_aquarium_assembly,197-887-404-746-728,EP 0539402 A1,AQUARIUM ASSEMBLY.,,STRONG FINN A,DISCONTINUED,platform,false,Deduped patent family (2 of 2 records); review scope and naming.
auto_finn_strong_aquarium_assembly,026-202-555-625-469,WO 1992/000668 A1,AQUARIUM ASSEMBLY,,STRONG FINN A,PENDING,platform,false,Deduped patent family (2 of 2 records); review scope and naming.
auto_florida_atlantic_falciparum_malaria_plasmodium,040-125-405-335-838,US 2024/0156776 A1,COMPOSITIONS AND METHODS FOR THE TREATMENT OF PLASMODIUM FALCIPARUM MALARIA,FLORIDA ATLANTIC UNIVERSITY BOARD OF TRUSTEES (2022-02-22);;BROWN UNIVERSITY (2021-02-26),KURTIS JONATHAN;;OLEINIKOV ANDREW V;;RAJ DIPAK K,PENDING,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_frank_jordan_electronic_strap_utility,111-738-129-021-378,WO 2016/196411 A1,ELECTRONIC UTILITY STRAP,,FRANK JORDAN;;DOBRINSKY ALEXANDER,PENDING,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_frost_controls_area_light_switch,132-633-093-754-123,WO 1993/005412 A1,AREA LIGHT SWITCH,,DOGUL JAMES;;SARKAR SANDIP;;THOMSON FREDERICK;;THOMSON ROBERT,PATENTED,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_fujifilm_electronic_apparatus_chemical_liquid_manufacturing,116-506-465-805-672,IL 281935 A,Chemical liquid manufacturing apparatus and manufacturing method of chemical liquid,,,PENDING,digital_therapeutic,false,Deduped patent family (2 of 2 records); review scope and naming.
auto_fujifilm_electronic_modification_phase_surface_vapor,021-182-268-106-378,US 2026/0139200 A1,COMPOSITIONS AND METHODS FOR VAPOR PHASE SURFACE MODIFICATION,,William A. Wojtczak,UNKNOWN,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_fujifilm_electronic_polishing_thereof,140-301-034-990-838,US 12630744 B2,Polishing compositions and methods of use thereof,,Ting-Kai Huang;;Yannan Liang;;Bin Hu;;Chun-Fu Chen;;Ying-Shen Chuang;;Tzu-Wei Chiu;;Sung Tsai Lin;;Hanyu Fan;;Hsin-Hsien,UNKNOWN,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_general_hospital_brain_deep_detecting_effortful_facilitating_medi,006-363-785-607-938,US 11612748 B2,"Systems, methods and media for detecting and facilitating an effortful mental task by providing real-time deep brain stimulation",GENERAL HOSPITAL CORPORATION THE (2022-05-20);;BROWN UNIVERSITY (2022-05-22),PROVENZA NICOLE;;BORTON DAVID;;WIDGE ALIK;;DOUGHERTY DARIN;;ESKANDAR EMAD,ACTIVE,platform,false,Deduped patent family (2 of 2 records); review scope and naming.
auto_genosco_oscotec_alzheimer_asma_bronquitis_cancer_colitis_como_co,025-375-630-408-958,CL 2012001073 A1,"Compuestos derivados de pirido[4,3-d]pirimidin-5-ona, sus composiciones farmaceuticas y su uso como inhibidores de quinasa para tratar asma, epoc, colitis ulcerante, bronquitis, lupus, cancer de mamas, enfermedad de alzheimer, enfermedad de parkinson, osteoporosis, esclerosis multiple, diabetes, trastornos oculares, restenosis, enfermedades inflamatorias.",,KIM HONG WOO;;KOH JONG SUNG;;LEE JAEKYOO;;KIM YOUNGSAM;;LEE HEE KYU;;CHOI JANG-SIK;;LIM SUN-HEE;;SONG HO-JUHN,PENDING,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_genosco_oscotec_inhibitors_kinase,153-617-150-227-373,ZA 201204246 B,KINASE INHIBITORS,,KIM HONG WOO;;KOH JONG SUNG;;LEE JAEKYOO;;SONG HO-JUHN;;KIM YOUNGSAM;;LEE HEE KYU;;CHOI JANG-SIK;;LIM SUN-HEE;;CHANG SUN,ACTIVE,platform,false,Deduped patent family (2 of 2 records); review scope and naming.
auto_genosco_ostotec_asma_bronquitis_colitis_composicion_compuesto_co,194-408-595-358-081,CL 2012001221 A1,"Compuestos derivados de 4 -(1h-pirrol-1-il) pirimidin -2-ilamino y 4 -(1h-pirazol-1-il)- pirimidin-2-ilamino, inhibidores de quinasa; un compuesto isomerico; composicion farmaceutica; utiles en el tratamiento del asma, enfermedad pulmonar obstructiva cronica, colitis ulcerante, enfermedad de crohn, bronquitis, dermatitis, entre otras.",,LEE JAEKYOO;;SONG HO-JUHN;;KIM HONG WOO;;KIM YOUNGSAM;;LIM SUN-HEE;;KOH JONG SUNG;;LEE HEE KYU;;CHANG SUNHWA;;CHOI JANG-,PENDING,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_getinge_aseptic_closure_needle,174-967-027-055-256,US 12630318 B2,Needle with closure and method,,Daniel Py,UNKNOWN,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_giudice_vittorio_distanziatori_igienici_pubblici_telefoni,156-720-313-239-753,IT 8608109 V0,DISTANZIATORI IGIENICI PER TELEFONI PUBBLICI,,,DISCONTINUED,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_gosudarstvennoe_byudzhetnoe_cerebro_cervical_consequences_hydrokinesitherapy,080-373-009-633-757,RU 2615079 C1,HYDROKINESITHERAPY METHOD FOR PATIENTS WITH CONSEQUENCES OF SEVERE CEREBRO-SPINAL INJURY AT CERVICAL LEVEL,,KONOVALOVA NINA GENNADEVNA;;LYAKHOVETSKAYA VERA VITALEVNA;;FROLENKO SVETLANA YUREVNA,INACTIVE,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_gosudarstvennoe_byudzhetnoe_forming_functions_motor_rough_tetraparesis_tetra,075-870-383-672-39X,RU 2595355 C1,"METHOD OF FORMING MOTOR FUNCTIONS IN PATIENTS WITH TETRAPLEGIA, ROUGH TETRAPARESIS",,KONOVALOVA NINA GENNADEVNA;;LYAKHOVETSKAYA VERA VITALEVNA;;DEEVA IRINA VLADIMIROVNA,INACTIVE,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_governors_university_acids_carriers_cells_nanotubes_nucleic,104-876-606-446-902,US 10364440 B2,Nanotubes as carriers of nucleic acids into cells,THE GOVERNORS OF THE UNIVERSITY OF ALBERTA (2017-12-04);;RHODE ISLAND HOSPITAL (2013-07-02);;NATIONAL RESEARCH COUNCIL OF CANADA (2017-12-04);;BROWN UNIVERSITY (2013-07-02),WEBSTER THOMAS J;;CHEN QIAN;;CHEN YUPENG;;FENNIRI HICHAM;;HEMRAZ USHA DEVI,ACTIVE,platform,true,Deduped patent family (2 of 4 records); review scope and naming.
auto_governors_university_acids_carriers_cells_nanotubes_nucleic,010-367-893-976-389,US 10344300 B2,Nanotubes as carriers of nucleic acids into cells,THE GOVERNORS OF THE UNIVERSITY OF ALBERTA (2017-12-04);;RHODE ISLAND HOSPITAL (2013-07-02);;NATIONAL RESEARCH COUNCIL OF CANADA (2017-12-04);;BROWN UNIVERSITY (2013-07-02),CHEN YUNPENG;;CHEN QIAN;;WEBSTER THOMAS J;;FENNIRI HICHAM;;HEMRAZ USHA DEVI,ACTIVE,platform,false,Deduped patent family (2 of 4 records); review scope and naming.
auto_governors_university_nanotubes_thereof,090-325-911-076-55X,US 10201634 B2,Nanotubes and compositions thereof,THE GOVERNORS OF THE UNIVERSITY OF ALBERTA (2012-12-03);;NATIONAL RESEARCH COUNCIL OF CANADA (2012-10-04);;BROWN UNIVERSITY (2012-11-19),WEBSTER THOMAS J;;FENNIRI HICHAM;;HEMRAZ USHA DEVI,ACTIVE,platform,false,Deduped patent family (2 of 4 records); review scope and naming.
auto_graham_battersby_film_flexible_food_packaging_printed,019-586-100-795-551,US 8765239 B2,Printed flexible film for food packaging,,Graham C. Battersby;;Stephen A. Santos;;Bin Zhong;;Xiangdong Gan,UNKNOWN,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_gray_donald_cleaning_improved,161-330-347-437-712,WO 1993/008933 A1,IMPROVED CLEANING METHOD AND SYSTEM,,GRAY DONALD J;;GEBHARD PETER T E,PATENTED,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_green_cross_chimeric_construction_design_development_diagnos,090-472-908-788-484,EP 0577894 A1,"Design, construction and expression of chimeric proteins for development of vaccines and diagnostic reagents.",,KANG CHIL-YONG;;LUO LIZHONG,EXPIRED,diagnostic,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_green_cross_containing_croton_drug_extract_mixture_phelloden,179-001-868-431-814,CA 2056810 A1,"EXTRACT FROM MIXTURE OF PHELLODENDRON AND SEED OF CROTON, METHOD FOR THE SAME AND DRUG CONTAINING THE SAME",,HAN YOUNG B;;KYUNG HONG K;;MOON JUNG J;;KIM CHOON W;;HAN IN G;;KIM JONG B,DISCONTINUED,therapeutic,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_green_cross_croton_extracted_genus_phellodendron,045-279-999-200-001,GB 2250436 A,Compositions extracted from genus Phellodendron and Croton,,HAN YOUNG BOK;;KYUNG HONG KI;;MOON JUNG JO;;KIM CHOON WON;;HAN IN GWON;;KIM JONG BAE,EXPIRED,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_green_plus_cultivation_plant,047-895-492-556-377,IN 345DE2012 A,PLANT CULTIVATION SYSTEM,,PARK YOUNG HWAN,PENDING,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_greenberg_william_chassis_racing_suspension_vehicles,073-980-669-086-569,GB 2138369 B,CHASSIS AND SUSPENSION SYSTEM FOR RACING VEHICLES,,GREENBERG WILLIAM HARRY,EXPIRED,platform,false,Deduped patent family (2 of 2 records); review scope and naming.
auto_greggi_marco_bolts_coupling_direct_fixing_loosening_motor_scr,014-690-538-608-640,EP 0556536 A1,"Device for loosening or screwing tight the fixing bolts of a wheel of a motor vehicle, with direct coupling to the wheel.",,GREGGI MARCO;;CAVALLETTI FABIO,PENDING,medical_device,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_grinnel_fire_discharge_liquid_nozzle,083-466-081-052-238,GB 2165774 A,LIQUID DISCHARGE NOZZLE,,WHITAKER GEORGE N,EXPIRED,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_grinnell_fire_discharge_liquid_nozzle,118-196-451-937-836,GB 2165774 B,LIQUID DISCHARGE NOZZLE,,WHITAKER GEORGE N,EXPIRED,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_gtech_corp_after_checking_print_printer_quality_read_write,056-589-352-903-745,WO 1993/003454 A1,PRINTER WITH READ-AFTER-WRITE/PRINT QUALITY CHECKING,,GILMORE MARK J;;FALSO VINCENT P,PENDING,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_gtech_corp_agent_smartcards_terminal_transfer_using_wagerin,088-005-162-501-998,WO 1992/010806 A1,WAGERING SYSTEM USING SMARTCARDS FOR TRANSFER OF AGENT TERMINAL DATA,,MCCARTHY STEVEN R,PENDING,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_gtech_corp_arpajaisasiamiehen_inen_liitetty_pelaajak_tteese,178-125-404-200-047,FI 122365 B,Pelaajakäyttöinen arpajaisasiamiehen päätteeseen liitetty voitontarkistaja,,SNOWDEN GUY B;;MARKOWICZ VICTOR,EXPIRED,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_gtech_corp_drum_feed_form_linear_reader_scanner,146-727-922-862-232,WO 1992/022083 A1,FORM READER WITH LINEAR CCD SCANNER AND DRUM FEED,,CANNON THOMAS;;SMITH DANIEL;;BOWEN MARK,PENDING,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_guru_nanak_artificial_depression_detection_early_electroenc,035-926-779-082-758,US 2024/0350052 A1,ARTIFICIAL INTELLIGENCE (AI) AND MACHINE LEARNING (ML) BASED GRAPHICAL USER INTERFACE (GUI) SYSTEM FOR EARLY DETECTION OF DEPRESSION SYMPTOMS USING FACIAL EXPRESSION RECOGNITION AND ELECTROENCEPHALOGRAM,GURU NANAK DEV UNIVERSITY (2024-02-07);;BROWN UNIVERSITY (2024-02-06),KUMAR GAJENDRA;;MORROW ERIC;;SINGH KULDEEP;;DAS TANAYA,PENDING,diagnostic,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_gwan_shig_apparatus_flat_glass_tempering,111-154-538-407-15X,IN 2518DEN2012 A,APPARATUS FOR TEMPERING FLAT GLASS,,KIM GWAN SING;;NOH EUN JA;;SIN JAE EUN;;YANG TAE SU,PENDING,digital_therapeutic,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_hana_micron_camadas_pacote_semicondutor,042-427-679-379-359,BR 112012032580 A2,pacote semicondutor em camadas,,KIM HYUN JOO;;JUNG YONG HA,DISCONTINUED,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_hana_micron_empilhados_encapsulamento_semicondutores,007-609-785-022-386,BR 112012032559 A2,encapsulamento de semicondutores empilhados,,KIM JIN HO;;JEONG JIN WOOK,DISCONTINUED,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_handy_harman_electromagnetic_interference_material_shielding,110-952-454-229-27X,WO 1992/020091 A1,ELECTROMAGNETIC INTERFERENCE SHIELDING MATERIAL,,FORDE PAUL T;;LICHTENBERGER HEINER,PENDING,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_hankuk_fiber_body_composite_integrated_material_production_th,116-473-047-574-172,WO 2009/096676 A2,"INTEGRATED COMPOSITE-MATERIAL VEHICLE BODY FOR A TRANSPORTATION VEHICLE, AND A PRODUCTION METHOD THEREFOR",,,PENDING,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_hanmi_holdings_capecitabina_carbonato_formacion_metodo_para_pre,139-568-371-523-728,CL 2008003386 A1,Metodo para preparar capecitabina por formacion de un carbonato de trialquilo.,,LEE JAEHEON;;PARK GHA-SEUNG;;YANG WEON KI;;KIM JIN HEE;;PARK CHEOL HYUN;;AN YONG-HOON;;LEE YOON JU;;CHANG YOUNG-KIL,PENDING,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_hanmi_pharm_acido_alcohol_capa_complejo_composicion_contiene,027-651-191-963-394,CL 2013002611 A1,"Composicion de complejo oral que contiene un nucleo de ester de acido graso omega-3,una primera capa hidrofobica, una segunda capa que contiene: i) rosuvastatina y ii) alcohol polivinilico, copolimero alcohol polivinilico-polietilen glicol o mezclas; metodo de preparacion.",,KIM YONG II;;PARK JAE HYUN;;WOO JONG SOO;;YOON EUN JIN;;IM HO TAEK;;SHIN YOON SUB,PENDING,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_hanmi_pharm_administration_designed_omeprazole_rectum,044-357-074-266-062,EP 0444625 A1,Omeprazole compositions designed for administration in Rectum.,,KWANG SIK KIM,EXPIRED,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_hanmi_pharm_amida_cancer_celulas_composicion_comprende_compu,133-224-335-320-82X,CL 2013003513 A1,"Composicion farmaceutica que comprende un compuesto derivado de amida de formula definida o una sal del mismo y un lubricante de sal no metalica; metodo para su preparacion, util para inhibir el crecimiento de celulas con cancer.",,WOO JONG SOO;;KIM YONG II;;KIM KYEONG SOO;;KIM JIN CHEUL;;KIM YO HAN;;PARK JAC HYUN,PENDING,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_hanmi_pharm_amida_composi_compreendendo_crescimento_derivado,112-935-053-258-203,BR 112013030456 A2,composição farmacêutica compreendendo derivado de amida inibindo o crescimento de células de câncer e lubrificante de sal não-metálico,,PARK JAE HYUN;;KIM JIN CHEUL;;WOO JONG SOO;;KIM KYEONG SOO;;KIM YO HAN;;KIM YONG IL,INACTIVE,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_hanmi_pharm_amidderivat_cancerceller_farmaceutisk_ksten_meta,197-274-772-657-022,DK 2718282 T3,"FARMACEUTISK SAMMENSÆTNING, SOM OMFATTER ET AMIDDERIVAT, DER HÆMMER VÆKSTEN AF CANCERCELLER, OG ET SMØREMIDDEL UDEN METALSALT",,KIM YONG IL;;KIM KYEONG SOO;;KIM JIN CHEUL;;KIM YO HAN;;PARK JAE HYUN;;WOO JONG SOO,ACTIVE,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
