case_id,display_name,target,indication,opportunity_type,company,slater_invested,development_stage,required_roles,required_specialties,clinical_tags,target_timeline_weeks,budget_ceiling_usd,capital_gap_usd,ri_institution,ri_ip_source,ri_notes,ri_physician_lead,conflict_tags,llm_inferred_label,llm_label_method,source_type,mocked,confidence_0_1
auto_samsung_electronic_fluorescent_material_surface,Process for treating the surface fluorescent Technology Platform Opportunity,Process for treating the surface of a fluorescent material,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:038-922-483-882-423,Deduped patent family (1 of 1 records); review scope and naming.,TBD,,Process for treating the surface fluorescent Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_samsung_electronic_luminous_phosphor,Red luminous phosphor Technology Platform Opportunity,Red-luminous phosphor,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:087-979-712-905-233,Deduped patent family (1 of 1 records); review scope and naming.,TBD,,Red luminous phosphor Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_samsung_electronic_cathode_emitting_green_light_mixed_phosphor_tube,MIXED GREEN LIGHT EMITTING PHOSPHOR FOR Technology Platform Opportunity,MIXED GREEN LIGHT EMITTING PHOSPHOR FOR A CATHODE RAY TUBE.,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:111-964-913-617-090,Deduped patent family (1 of 1 records); review scope and naming.,TBD,,MIXED GREEN LIGHT EMITTING PHOSPHOR FOR Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_samsung_electronic_frame_halation_mask_prevention_shadow,Shadow mask frame for prevention halation Technology Platform Opportunity,Shadow mask frame for prevention of halation.,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:163-638-808-314-816,Deduped patent family (1 of 1 records); review scope and naming.,TBD,,Shadow mask frame for prevention halation Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_samsung_electronic_assembly_mask_shadow,Shadow mask assembly Technology Platform Opportunity,Shadow mask assembly,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:013-281-993-161-605,Deduped patent family (1 of 1 records); review scope and naming.,TBD,,Shadow mask assembly Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_samsung_electronic_display_means_support,SUPPORT FOR DISPLAY MEANS Technology Platform Opportunity,SUPPORT FOR DISPLAY MEANS,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:071-433-910-096-523,Deduped patent family (1 of 1 records); review scope and naming.,TBD,,SUPPORT FOR DISPLAY MEANS Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_samsung_electronic_coated_phosphor_pigment,RED PIGMENT COATED PHOSPHOR Technology Platform Opportunity,RED PIGMENT COATED PHOSPHOR.,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:175-185-842-461-189,Deduped patent family (1 of 1 records); review scope and naming.,TBD,,RED PIGMENT COATED PHOSPHOR Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_samsung_electronic_manufacturing_phosphor,Manufacturing method for red phosphor Technology Platform Opportunity,Manufacturing method for red phosphor.,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:138-717-928-952-758,Deduped patent family (1 of 1 records); review scope and naming.,TBD,,Manufacturing method for red phosphor Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_samsung_electronic_cathode_colour_manufacturing_phosphor_screens_tu,Manufacturing phosphor screens for colour cathode Technology Platform Opportunity,Manufacturing phosphor screens for colour cathode ray tubes,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:037-172-618-238-605,Deduped patent family (1 of 1 records); review scope and naming.,TBD,,Manufacturing phosphor screens for colour cathode Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_samsung_electronic_cathodes_electron_tubes,CATHODES FOR ELECTRON TUBES Technology Platform Opportunity,CATHODES FOR ELECTRON TUBES,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:057-718-567-138-168,Deduped patent family (1 of 1 records); review scope and naming.,TBD,,CATHODES FOR ELECTRON TUBES Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_samsung_electronic_cathode_electron_manufacture_thereof,cathode for electron gun and method Technology Platform Opportunity,A cathode for an electron gun and a method of manufacture thereof,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:034-709-883-168-562,Deduped patent family (1 of 1 records); review scope and naming.,TBD,,cathode for electron gun and method Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_samsung_electronic_cathode_colour_contactor_spring_tube_type,Colour cathode ray tube with spring Technology Platform Opportunity,Colour cathode ray tube with spring type contactor,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:151-186-168-043-13X,Deduped patent family (1 of 1 records); review scope and naming.,TBD,,Colour cathode ray tube with spring Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_samsung_electronic_cathode_layers_phospher_preparing_sample_tubes,Sample preparing method for phospher layers Technology Platform Opportunity,Sample preparing method for phospher layers of cathode ray tubes,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:198-455-776-828-561,Deduped patent family (1 of 1 records); review scope and naming.,TBD,,Sample preparing method for phospher layers Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_samsung_electronic_cathode_color_phosphors_same_tubes_using,Phosphors and color cathode ray tubes Technology Platform Opportunity,Phosphors and color cathode ray tubes using same.,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:095-315-553-027-119,Deduped patent family (1 of 1 records); review scope and naming.,TBD,,Phosphors and color cathode ray tubes Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_samsung_electronic_cathode_color_inner_lacking_shield_tube,Color cathode ray tube lacking inner Technology Platform Opportunity,Color cathode ray tube lacking inner shield.,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:171-074-181-502-643,Deduped patent family (1 of 1 records); review scope and naming.,TBD,,Color cathode ray tube lacking inner Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_samsung_electronic_electron_heater_structure_supporting,Supporting structure for heater electron gun Technology Platform Opportunity,Supporting structure for heater of electron gun,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:019-832-239-197-83X,Deduped patent family (1 of 1 records); review scope and naming.,TBD,,Supporting structure for heater electron gun Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_samsung_electronic_coated_filter_phosphors,Filter coated red phosphors Technology Platform Opportunity,Filter-coated red phosphors.,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:194-886-791-530-957,Deduped patent family (1 of 1 records); review scope and naming.,TBD,,Filter coated red phosphors Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_samsung_electronic_colour_flat_mask_panel_shadow_support_tensioned,Support for tensioned shadow mask flat Technology Platform Opportunity,Support for tensioned shadow mask of flat panel colour tube,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:108-255-045-513-784,Deduped patent family (1 of 1 records); review scope and naming.,TBD,,Support for tensioned shadow mask flat Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_samsung_electronic_cathode_electron_tube_2,Electron gun for cathode ray tube Technology Platform Opportunity,Electron gun for cathode ray tube,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:079-648-577-311-910,Deduped patent family (1 of 1 records); review scope and naming.,TBD,,Electron gun for cathode ray tube Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_samsung_electronic_clad_metal_resistance_sheets_welding,Resistance welding clad metal sheets Technology Platform Opportunity,Resistance welding of clad metal sheets,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:177-282-393-306-059,Deduped patent family (1 of 1 records); review scope and naming.,TBD,,Resistance welding clad metal sheets Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_samsung_electronic_cathode_colour_manufacture_screens_tube,Manufacture colour cathode ray tube screens Technology Platform Opportunity,"""Manufacture of colour cathode ray tube screens""",RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:049-213-287-205-625,Deduped patent family (1 of 1 records); review scope and naming.,TBD,,Manufacture colour cathode ray tube screens Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_samsung_electronic_cathode_cleaning_colour_panels_portions_sealing,Cleaning sealing portions panels colour cathode Technology Platform Opportunity,Cleaning sealing portions of panels of colour cathode ray tubes,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:045-910-493-785-77X,Deduped patent family (1 of 1 records); review scope and naming.,TBD,,Cleaning sealing portions panels colour cathode Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_samsung_electronic_cathode_dispenser,Dispenser cathode Technology Platform Opportunity,Dispenser cathode,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:152-124-018-572-055,Deduped patent family (1 of 1 records); review scope and naming.,TBD,,Dispenser cathode Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_samsung_electronic_antistatisk_anvaendning_belaeggningskomposition,ANTISTATISK BELAEGGNINGSKOMPOSITION FOERFARANDE FOER DESS FRAMSTAELLNING Technology Platform Opportunity,"ANTISTATISK, BELAEGGNINGSKOMPOSITION, FOERFARANDE FOER DESS FRAMSTAELLNING OCH A",RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:181-218-338-576-898,Deduped patent family (1 of 1 records); review scope and naming.,TBD,,ANTISTATISK BELAEGGNINGSKOMPOSITION FOERFARANDE FOER DESS FRAMSTAELLNING Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_samsung_electronic_cathode_manufacture_screen_tube,Cathode ray tube screen manufacture Technology Platform Opportunity,Cathode ray tube screen manufacture,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:027-365-813-194-757,Deduped patent family (1 of 1 records); review scope and naming.,TBD,,Cathode ray tube screen manufacture Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_samsung_electronic_cathodes_dispenser_electron_guns_manufacturing,Manufacturing dispenser cathodes electron guns Technology Platform Opportunity,Manufacturing dispenser cathodes of electron guns,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:170-554-777-036-520,Deduped patent family (1 of 1 records); review scope and naming.,TBD,,Manufacturing dispenser cathodes electron guns Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_samsung_electronic_coating,Coating composition Technology Platform Opportunity,Coating composition,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:140-162-255-814-662,Deduped patent family (1 of 1 records); review scope and naming.,TBD,,Coating composition Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_rhodes_technologies_improved_opioid_synthesis,PROCESS FOR IMPROVED OPIOID SYNTHESIS Technology Platform Opportunity,PROCESS FOR IMPROVED OPIOID SYNTHESIS,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,chronic_pain|pain_medicine,20,400000,1200000,Rhode Island ecosystem,lens:036-222-027-029-816,Deduped patent family (2 of 7 records); review scope and naming.,TBD,,PROCESS FOR IMPROVED OPIOID SYNTHESIS Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_rhodes_technologies_improved_oxycodone_synthesis,Process for improved oxycodone synthesis Technology Platform Opportunity,Process for improved oxycodone synthesis,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:001-644-598-968-817,Deduped patent family (2 of 6 records); review scope and naming.,TBD,,Process for improved oxycodone synthesis Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_rhodes_technologies_delivery_dosage_forms_oral,COMPOSITIONS AND DOSAGE FORMS FOR ORAL Technology Platform Opportunity,COMPOSITIONS AND DOSAGE FORMS FOR ORAL DELIVERY,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:197-292-882-872-806,Deduped patent family (2 of 4 records); review scope and naming.,TBD,,COMPOSITIONS AND DOSAGE FORMS FOR ORAL Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_rhodes_technologies_conditions_ophthalmic_pharmaceutical,PHARMACEUTICAL COMPOSITIONS FOR THE TREATMENT OPHTHALMIC Technology Platform Opportunity,PHARMACEUTICAL COMPOSITIONS FOR THE TREATMENT OF OPHTHALMIC CONDITIONS,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:044-341-510-130-190,Deduped patent family (2 of 3 records); review scope and naming.,TBD,,PHARMACEUTICAL COMPOSITIONS FOR THE TREATMENT OPHTHALMIC Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_rhodes_technologies_dronabinol_increasing_stability,SYSTEMS AND METHODS FOR INCREASING STABILITY Technology Platform Opportunity,SYSTEMS AND METHODS FOR INCREASING STABILITY OF DRONABINOL COMPOSITIONS,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:155-377-718-670-849,Deduped patent family (2 of 3 records); review scope and naming.,TBD,,SYSTEMS AND METHODS FOR INCREASING STABILITY Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_rhodes_technologies_improved_oxymorphone_synthesis,Process for improved oxymorphone synthesis Technology Platform Opportunity,Process for improved oxymorphone synthesis,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:138-087-010-087-752,Deduped patent family (2 of 3 records); review scope and naming.,TBD,,Process for improved oxymorphone synthesis Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_rhodes_technologies_cannabinoid_delivery_dosage_forms_inhalational_i,CANNABINOID COMPOSITIONS AND DOSAGE FORMS FOR Technology Platform Opportunity,CANNABINOID COMPOSITIONS AND DOSAGE FORMS FOR INTRANASAL OR INHALATIONAL DELIVER,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:037-717-271-782-00X,Deduped patent family (1 of 1 records); review scope and naming.,TBD,,CANNABINOID COMPOSITIONS AND DOSAGE FORMS FOR Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_rhodes_technologies_7beta_beta_ethanomorphinans_ethenomorphinans_sub,beta substituted 14a ethenomorphinans and 7beta Technology Platform Opportunity,"7 beta-substituted 6a, 14a-ethenomorphinans and 7beta-substituted 6a, 14a-ethano",RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:023-477-770-172-224,Deduped patent family (1 of 1 records); review scope and naming.,TBD,,beta substituted 14a ethenomorphinans and 7beta Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_rhodes_technologies_14alpha_6alpha_7beta_ethanomorphinans_ethenomorp,PROCESS FOR PREPARING 7BETA SUBSTITUTED 6ALPHA Technology Platform Opportunity,"PROCESS FOR PREPARING 7BETA-SUBSTITUTED 6ALPHA,14ALPHA-ETHENOMORPHINANS AND 7BET",RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:188-234-774-680-08X,Deduped patent family (1 of 1 records); review scope and naming.,TBD,,PROCESS FOR PREPARING 7BETA SUBSTITUTED 6ALPHA Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_rhodes_technologies_diseases_disorders,COMPOSITIONS AND TREATMENT FOR EYE DISEASES Technology Platform Opportunity,COMPOSITIONS AND TREATMENT FOR EYE DISEASES AND DISORDERS,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:010-850-744-505-874,Deduped patent family (1 of 1 records); review scope and naming.,TBD,,COMPOSITIONS AND TREATMENT FOR EYE DISEASES Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_ri_owner_manoeuvring_vehicle,VEHICLE MANOEUVRING SYSTEMS Technology Platform Opportunity,VEHICLE MANOEUVRING SYSTEMS,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:032-146-519-430-510,Deduped patent family (2 of 2 records); review scope and naming.,TBD,,VEHICLE MANOEUVRING SYSTEMS Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_ri_owner_control_lighting_meeting,MEETING LIGHTING CONTROL METHOD AND SYSTEM Technology Platform Opportunity,MEETING LIGHTING CONTROL METHOD AND SYSTEM,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:012-727-712-076-621,Deduped patent family (1 of 1 records); review scope and naming.,TBD,,MEETING LIGHTING CONTROL METHOD AND SYSTEM Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_ri_owner_meeting_timeout_transmission_video,VIDEO MEETING TIMEOUT TRANSMISSION METHOD AND Technology Platform Opportunity,VIDEO MEETING TIMEOUT RE-TRANSMISSION METHOD AND SYSTEM,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:104-097-623-573-919,Deduped patent family (1 of 1 records); review scope and naming.,TBD,,VIDEO MEETING TIMEOUT TRANSMISSION METHOD AND Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_ri_owner_content_meeting_transmission,MEETING CONTENT TRANSMISSION METHOD AND SYSTEM Technology Platform Opportunity,MEETING CONTENT TRANSMISSION METHOD AND SYSTEM,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:001-530-689-970-992,Deduped patent family (1 of 1 records); review scope and naming.,TBD,,MEETING CONTENT TRANSMISSION METHOD AND SYSTEM Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_ri_owner_attendance_invitation_remote_video,REMOTE VIDEO ATTENDANCE INVITATION METHOD AND Technology Platform Opportunity,REMOTE VIDEO ATTENDANCE INVITATION METHOD AND SYSTEM,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:042-254-828-647-810,Deduped patent family (1 of 1 records); review scope and naming.,TBD,,REMOTE VIDEO ATTENDANCE INVITATION METHOD AND Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_ri_owner_interaction_meeting,MEETING INTERACTION METHOD AND SYSTEM Technology Platform Opportunity,MEETING INTERACTION METHOD AND SYSTEM,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:171-152-430-882-642,Deduped patent family (1 of 1 records); review scope and naming.,TBD,,MEETING INTERACTION METHOD AND SYSTEM Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_ri_owner_meeting_remote_verification,REMOTE MEETING VERIFICATION METHOD AND SYSTEM Technology Platform Opportunity,REMOTE MEETING VERIFICATION METHOD AND SYSTEM,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:090-364-509-723-044,Deduped patent family (1 of 1 records); review scope and naming.,TBD,,REMOTE MEETING VERIFICATION METHOD AND SYSTEM Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_ri_owner_content_meeting_sharing,MEETING CONTENT SHARING METHOD AND SYSTEM Technology Platform Opportunity,MEETING CONTENT SHARING METHOD AND SYSTEM,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:090-288-081-100-847,Deduped patent family (1 of 1 records); review scope and naming.,TBD,,MEETING CONTENT SHARING METHOD AND SYSTEM Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_ri_owner_control_meeting_microphone_video,VIDEO MEETING MICROPHONE CONTROL METHOD AND Technology Platform Opportunity,VIDEO MEETING MICROPHONE CONTROL METHOD AND SYSTEM,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:099-825-696-799-12X,Deduped patent family (1 of 1 records); review scope and naming.,TBD,,VIDEO MEETING MICROPHONE CONTROL METHOD AND Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_ri_owner_instant_meeting_prompt,MEETING INSTANT PROMPT METHOD AND SYSTEM Technology Platform Opportunity,MEETING INSTANT PROMPT METHOD AND SYSTEM,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:196-612-416-679-033,Deduped patent family (1 of 1 records); review scope and naming.,TBD,,MEETING INSTANT PROMPT METHOD AND SYSTEM Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_ri_owner_meeting_organisation_reminder,MEETING ORGANISATION REMINDER METHOD AND SYSTEM Technology Platform Opportunity,MEETING ORGANISATION REMINDER METHOD AND SYSTEM,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:037-535-507-689-622,Deduped patent family (1 of 1 records); review scope and naming.,TBD,,MEETING ORGANISATION REMINDER METHOD AND SYSTEM Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_ri_owner_according_dialing_gesture_hand_mobile_number_pho,METHOD AND MOBILE PHONE FOR DIALING Technology Platform Opportunity,METHOD AND MOBILE PHONE FOR DIALING TELEPHONE NUMBER ACCORDING TO HAND GESTURE,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:052-293-640-911-645,Deduped patent family (1 of 1 records); review scope and naming.,TBD,,METHOD AND MOBILE PHONE FOR DIALING Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
